  6.95500E+10  4.55076E-16  1.25462E-01  9.90304E+05
  7.02107E+10  4.27490E-16  1.17782E-01  8.46633E+05
  7.08714E+10  4.00762E-16  1.10346E-01  8.91271E+05
  7.15322E+10  3.76880E-16  1.03707E-01  9.27697E+05
  7.21929E+10  3.54673E-16  9.75371E-02  9.69584E+05
  7.28536E+10  3.34139E-16  9.18352E-02  1.01021E+06
  7.35144E+10  3.15122E-16  8.65577E-02  1.05217E+06
  7.41751E+10  2.97465E-16  8.16608E-02  1.09484E+06
  7.48358E+10  2.81073E-16  7.71170E-02  1.13851E+06
  7.54965E+10  2.65844E-16  7.28981E-02  1.18302E+06
  7.61572E+10  2.51676E-16  6.89745E-02  1.22816E+06
  7.68180E+10  2.38465E-16  6.53187E-02  1.27422E+06
  7.74787E+10  2.26146E-16  6.19117E-02  1.32087E+06
  7.81394E+10  2.14648E-16  5.87334E-02  1.36827E+06
  7.88002E+10  2.03901E-16  5.57643E-02  1.41633E+06
  7.94609E+10  1.93846E-16  5.29875E-02  1.46512E+06
  8.01216E+10  1.84441E-16  5.03915E-02  1.51458E+06
  8.07823E+10  1.75629E-16  4.79603E-02  1.56495E+06
  8.14430E+10  1.67353E-16  4.56783E-02  1.61608E+06
  8.21038E+10  1.59588E-16  4.35384E-02  1.66749E+06
  8.27645E+10  1.52290E-16  4.15277E-02  1.71958E+06
  8.34252E+10  1.45429E-16  3.96386E-02  1.77245E+06
  8.40859E+10  1.38973E-16  3.78615E-02  1.82630E+06
  8.47467E+10  1.32896E-16  3.61898E-02  1.88058E+06
  8.54074E+10  1.27163E-16  3.46131E-02  1.93490E+06
  8.60681E+10  1.21757E-16  3.31271E-02  1.98995E+06
  8.67289E+10  1.16653E-16  3.17249E-02  2.04591E+06
  8.73896E+10  1.11825E-16  3.03991E-02  2.10206E+06
  8.80503E+10  1.07265E-16  2.91473E-02  2.15860E+06
  8.87110E+10  1.02947E-16  2.79626E-02  2.21616E+06
  8.93718E+10  9.88612E-17  2.68419E-02  2.27398E+06
  9.00325E+10  9.49878E-17  2.57800E-02  2.33206E+06
  9.06932E+10  9.13161E-17  2.47737E-02  2.39076E+06
  9.13539E+10  8.78385E-17  2.38210E-02  2.45010E+06
  9.20146E+10  8.45296E-17  2.29149E-02  2.50952E+06
  9.26754E+10  8.13904E-17  2.20555E-02  2.56913E+06
  9.33361E+10  7.84054E-17  2.12386E-02  2.62960E+06
  9.39968E+10  7.55669E-17  2.04623E-02  2.69066E+06
  9.46576E+10  7.28673E-17  1.97241E-02  2.75170E+06
  9.53183E+10  7.02970E-17  1.90215E-02  2.81310E+06
  9.59790E+10  6.78446E-17  1.83514E-02  2.87497E+06
  9.66397E+10  6.55101E-17  1.77137E-02  2.93705E+06
  9.73004E+10  6.32817E-17  1.71052E-02  2.99934E+06
  9.79612E+10  6.11565E-17  1.65251E-02  3.06185E+06
  9.86219E+10  5.91259E-17  1.59710E-02  3.12466E+06
  9.92826E+10  5.71865E-17  1.54420E-02  3.18770E+06
  9.99434E+10  5.53336E-17  1.49367E-02  3.25137E+06
  1.00604E+11  5.35637E-17  1.44543E-02  3.31544E+06
  1.01265E+11  5.18671E-17  1.39919E-02  3.37964E+06
  1.01926E+11  5.02443E-17  1.35498E-02  3.44362E+06
  1.02586E+11  4.86898E-17  1.31265E-02  3.50773E+06
  1.03247E+11  4.72020E-17  1.27214E-02  3.57278E+06
  1.03908E+11  4.57741E-17  1.23328E-02  3.63790E+06
  1.04568E+11  4.44050E-17  1.19603E-02  3.70300E+06
  1.05229E+11  4.30928E-17  1.16034E-02  3.76835E+06
  1.05890E+11  4.18332E-17  1.12609E-02  3.83370E+06
  1.06551E+11  4.06228E-17  1.09319E-02  3.89912E+06
  1.07211E+11  3.94622E-17  1.06165E-02  3.96469E+06
  1.07872E+11  3.83441E-17  1.03127E-02  4.03026E+06
  1.08533E+11  3.72715E-17  1.00214E-02  4.09610E+06
  1.09194E+11  3.62382E-17  9.74079E-03  4.16223E+06
  1.09854E+11  3.52451E-17  9.47120E-03  4.22852E+06
  1.10515E+11  3.42895E-17  9.21188E-03  4.29484E+06
  1.11176E+11  3.33698E-17  8.96236E-03  4.36108E+06
  1.11836E+11  3.24833E-17  8.72191E-03  4.42759E+06
  1.12497E+11  3.16287E-17  8.49020E-03  4.49391E+06
  1.13158E+11  3.08052E-17  8.26695E-03  4.56030E+06
  1.13819E+11  3.00109E-17  8.05169E-03  4.62717E+06
  1.14479E+11  2.92454E-17  7.84429E-03  4.69397E+06
  1.15140E+11  2.85069E-17  7.64424E-03  4.76064E+06
  1.15801E+11  2.77941E-17  7.45119E-03  4.82772E+06
  1.16461E+11  2.71063E-17  7.26499E-03  4.89470E+06
  1.17122E+11  2.64415E-17  7.08505E-03  4.96142E+06
  1.17783E+11  2.57992E-17  6.91125E-03  5.02826E+06
  1.18444E+11  2.51780E-17  6.74320E-03  5.09504E+06
  1.19104E+11  2.45777E-17  6.58083E-03  5.16190E+06
  1.19765E+11  2.39978E-17  6.42403E-03  5.22915E+06
  1.20426E+11  2.34363E-17  6.27224E-03  5.29614E+06
  1.21087E+11  2.28939E-17  6.12565E-03  5.36291E+06
  1.21747E+11  2.23682E-17  5.98362E-03  5.42971E+06
  1.22408E+11  2.18592E-17  5.84609E-03  5.49609E+06
  1.23069E+11  2.13665E-17  5.71303E-03  5.56239E+06
  1.23729E+11  2.08891E-17  5.58411E-03  5.62908E+06
  1.24390E+11  2.04256E-17  5.45899E-03  5.69580E+06
