  6.95500E+10  4.74328E-16  1.31751E-01 -3.94408E+03
  7.02107E+10  4.44515E-16  1.23456E-01 -5.58405E+03
  7.08714E+10  4.17279E-16  1.15906E-01 -2.16901E+04
  7.15322E+10  3.92309E-16  1.08970E-01 -2.20883E+04
  7.21929E+10  3.69240E-16  1.02563E-01 -2.31477E+04
  7.28536E+10  3.47910E-16  9.66416E-02 -2.41300E+04
  7.35144E+10  3.28164E-16  9.11582E-02 -2.51601E+04
  7.41751E+10  3.09862E-16  8.60743E-02 -2.62830E+04
  7.48358E+10  2.92875E-16  8.13564E-02 -2.74599E+04
  7.54965E+10  2.77096E-16  7.69732E-02 -2.84455E+04
  7.61572E+10  2.62415E-16  7.28953E-02 -2.93924E+04
  7.68180E+10  2.48743E-16  6.90978E-02 -3.04257E+04
  7.74787E+10  2.35995E-16  6.55572E-02 -3.14688E+04
  7.81394E+10  2.24096E-16  6.22527E-02 -3.27861E+04
  7.88002E+10  2.12985E-16  5.91679E-02 -3.38587E+04
  7.94609E+10  2.02594E-16  5.62817E-02 -3.48836E+04
  8.01216E+10  1.92873E-16  5.35814E-02 -3.62096E+04
  8.07823E+10  1.83764E-16  5.10510E-02 -3.74326E+04
  8.14430E+10  1.75222E-16  4.86780E-02 -3.85116E+04
  8.21038E+10  1.67201E-16  4.64497E-02 -3.96880E+04
  8.27645E+10  1.59670E-16  4.43577E-02 -4.10307E+04
  8.34252E+10  1.52588E-16  4.23906E-02 -4.22008E+04
  8.40859E+10  1.45928E-16  4.05400E-02 -4.34088E+04
  8.47467E+10  1.39653E-16  3.87976E-02 -4.44572E+04
  8.54074E+10  1.33731E-16  3.71536E-02 -4.58512E+04
  8.60681E+10  1.28154E-16  3.56041E-02 -4.71384E+04
  8.67289E+10  1.22885E-16  3.41406E-02 -4.85510E+04
  8.73896E+10  1.17911E-16  3.27583E-02 -5.01003E+04
  8.80503E+10  1.13205E-16  3.14510E-02 -5.12370E+04
  8.87110E+10  1.08754E-16  3.02147E-02 -5.23890E+04
  8.93718E+10  1.04540E-16  2.90438E-02 -5.34591E+04
  9.00325E+10  1.00547E-16  2.79345E-02 -5.48916E+04
  9.06932E+10  9.67613E-17  2.68827E-02 -5.64243E+04
  9.13539E+10  9.31680E-17  2.58843E-02 -5.78451E+04
  9.20146E+10  8.97589E-17  2.49374E-02 -5.90566E+04
  9.26754E+10  8.65199E-17  2.40376E-02 -6.04115E+04
  9.33361E+10  8.34404E-17  2.31824E-02 -6.19096E+04
  9.39968E+10  8.05102E-17  2.23686E-02 -6.34135E+04
  9.46576E+10  7.77237E-17  2.15945E-02 -6.50377E+04
  9.53183E+10  7.50714E-17  2.08575E-02 -6.64397E+04
  9.59790E+10  7.25414E-17  2.01545E-02 -6.77115E+04
  9.66397E+10  7.01306E-17  1.94847E-02 -6.89352E+04
  9.73004E+10  6.78289E-17  1.88451E-02 -7.03906E+04
  9.79612E+10  6.56355E-17  1.82357E-02 -7.19160E+04
  9.86219E+10  6.35391E-17  1.76532E-02 -7.31758E+04
  9.92826E+10  6.15372E-17  1.70970E-02 -7.44429E+04
  9.99434E+10  5.96218E-17  1.65649E-02 -7.58568E+04
  1.00604E+11  5.77912E-17  1.60562E-02 -7.70899E+04
  1.01265E+11  5.60389E-17  1.55693E-02 -7.85317E+04
  1.01926E+11  5.43622E-17  1.51035E-02 -8.00184E+04
  1.02586E+11  5.27550E-17  1.46569E-02 -8.10606E+04
  1.03247E+11  5.12155E-17  1.42292E-02 -8.25164E+04
  1.03908E+11  4.97406E-17  1.38194E-02 -8.41183E+04
  1.04568E+11  4.83261E-17  1.34264E-02 -8.53635E+04
  1.05229E+11  4.69665E-17  1.30487E-02 -8.67022E+04
  1.05890E+11  4.56614E-17  1.26861E-02 -8.81741E+04
  1.06551E+11  4.44094E-17  1.23382E-02 -8.97829E+04
  1.07211E+11  4.32069E-17  1.20041E-02 -9.11321E+04
  1.07872E+11  4.20505E-17  1.16829E-02 -9.23146E+04
  1.08533E+11  4.09387E-17  1.13741E-02 -9.37566E+04
  1.09194E+11  3.98690E-17  1.10769E-02 -9.53273E+04
  1.09854E+11  3.88393E-17  1.07909E-02 -9.67875E+04
  1.10515E+11  3.78483E-17  1.05155E-02 -9.81161E+04
  1.11176E+11  3.68935E-17  1.02502E-02 -9.93531E+04
  1.11836E+11  3.59738E-17  9.99460E-03 -1.00743E+05
  1.12497E+11  3.50874E-17  9.74830E-03 -1.02083E+05
  1.13158E+11  3.42336E-17  9.51106E-03 -1.03371E+05
  1.13819E+11  3.34095E-17  9.28207E-03 -1.04649E+05
  1.14479E+11  3.26143E-17  9.06112E-03 -1.05909E+05
  1.15140E+11  3.18475E-17  8.84801E-03 -1.07161E+05
  1.15801E+11  3.11072E-17  8.64230E-03 -1.08508E+05
  1.16461E+11  3.03914E-17  8.44342E-03 -1.10106E+05
  1.17122E+11  2.97001E-17  8.25133E-03 -1.11621E+05
  1.17783E+11  2.90318E-17  8.06560E-03 -1.12866E+05
  1.18444E+11  2.83858E-17  7.88611E-03 -1.14168E+05
  1.19104E+11  2.77618E-17  7.71271E-03 -1.15716E+05
  1.19765E+11  2.71577E-17  7.54486E-03 -1.17090E+05
  1.20426E+11  2.65723E-17  7.38221E-03 -1.18047E+05
  1.21087E+11  2.60061E-17  7.22490E-03 -1.19129E+05
  1.21747E+11  2.54576E-17  7.07246E-03 -1.20544E+05
  1.22408E+11  2.49272E-17  6.92505E-03 -1.21720E+05
  1.23069E+11  2.44133E-17  6.78226E-03 -1.23048E+05
